asistencia_laboratorio_pct,asistencia_teorico_pct,asistencia_total_pct,entregas_tarea_puntual,horas_de_estudio_semana,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,indice_procrastinacion,horas_deporte,horas_cultura,horas_extracurriculares,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,horas_trabajo_semana,apoyo_social,estres,bienestar_estudiantil,pps_actual_20,rendimiento,riesgo_de_desercion
Media,Baja,Baja,Ejemplar,Insuficiente,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Bajo,Riesgo_Moderado,Frecuente,Nula,Nula,Baja,Inadecuada,Baja,Bajo,Deficiente,Regular,Tiempo_Completo,Excelente,Moderado,Excelente,En_Proceso,Inicio,Medio
Alta,Alta,Excelente,Critico,Adecuado,Impuntual,Medio,Con_deuda,Beca_Total,Muy_Bajo,Sostenible,Constante,Constante,Nula,Media,Moderada,Nula,Alto,Adecuado,Bueno,Parcial_Baja,Insuficiente,Bajo,Excelente,Inicio,Previsto,Bajo
Media,Alta,Alta,Moderado,Insuficiente,Impuntual,Alto,Sin_deuda,Beca_Parcial,Medio,Sostenible,Frecuente,Ocasional,Ocasional,Baja,Moderada,Constante,Moderado,Regular,Deficiente,Ninguna,Moderado,Moderado,Critico,Previsto,Inicio,Bajo
Alta,Excelente,Excelente,Consistente,Intensivo,Puntual,Alto,Con_deuda,Financiamiento_Familiar,Bajo,Riesgo_Moderado,Minimo,Ocasional,Ocasional,Baja,Adecuada,Constante,Bajo,Deficiente,Bueno,Parcial_Baja,Bueno,Moderado,Excelente,Previsto,Destacado,Bajo
Excelente,Media,Excelente,Critico,Intensivo,Puntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Medio,Riesgo_Moderado,Minimo,Frecuente,Ocasional,Media,Adecuada,Nula,Alto,Adecuado,Regular,Tiempo_Completo,Excelente,Muy_Alto,Regular,Previsto,Destacado,Alto
Baja,Excelente,Excelente,Moderado,Insuficiente,Puntual,Medio,Con_deuda,Beca_Total,Muy_Bajo,Sostenible,Frecuente,Ocasional,Constante,Media,Adecuada,Baja,Moderado,Excesivo,Bueno,Parcial_Baja,Bueno,Moderado,Excelente,Destacado,En_Proceso,Bajo
Media,Baja,Media,Consistente,Insuficiente,Puntual,Bajo,Con_deuda,Beca_Total,Muy_Bajo,Sostenible,Frecuente,Nula,Ocasional,Baja,Moderada,Constante,Bajo,Regular,Excelente,Parcial_Alta,Insuficiente,Moderado,Regular,Previsto,En_Proceso,Medio
Media,Media,Excelente,Ejemplar,Limitado,Impuntual,Muy_Bajo,Con_deuda,Pago_Directo,Muy_Bajo,Vulnerable,Constante,Ocasional,Constante,Alta,Inadecuada,Frecuente,Moderado,Regular,Deficiente,Ninguna,Moderado,Alto,Excelente,Inicio,Inicio,Bajo
Media,Excelente,Alta,Ejemplar,Insuficiente,Impuntual,Alto,Sin_deuda,Beca_Parcial,Muy_Bajo,Estable,Constante,Frecuente,Constante,Alta,Moderada,Constante,Alto,Excesivo,Bueno,Parcial_Alta,Insuficiente,Alto,Critico,En_Proceso,Inicio,Alto
Media,Baja,Baja,Ejemplar,Insuficiente,Impuntual,Muy_Bajo,Con_deuda,Beca_Parcial,Muy_Bajo,Riesgo_Moderado,Ocasional,Frecuente,Frecuente,Alta,Inadecuada,Frecuente,Bajo,Adecuado,Excelente,Tiempo_Completo,Moderado,Bajo,Excelente,Inicio,Inicio,Medio
